gcc -Ofast -march=native -fno-strict-aliasing amx-gemm.c -o amx-gemm
objdump -d amx-gemm > amx-gemm.s
echo userspace | sudo tee /sys/devices/system/cpu/cpu1/cpufreq/scaling_governor
userspace
echo 2300000 | sudo tee /sys/devices/system/cpu/cpu1/cpufreq/scaling_setspeed
2300000
taskset -c 1 ./amx-gemm

 TILE DATA USE SET - OK

Test passed: M N K =  1440   800   704
Test passed: M N K =  1120  3456  1408
Test passed: M N K =  2592   992  1792
Test passed: M N K =  2880  2688  3648
Test passed: M N K =  3456  1440   320
Test passed: M N K =   928  4064   512
Test passed: M N K =   128  1696   960
Test passed: M N K =   608   544  2560
Test passed: M N K =  3840  1536  1344
Test passed: M N K =   704  2912  2304
M N K =   256   256   256, Elapsed time = 0.000145 s, Performance = 2.31 TOPS, Utilization = 49.11%
M N K =   512   512   512, Elapsed time = 0.000854 s, Performance = 3.14 TOPS, Utilization = 66.76%
M N K =   768   768   768, Elapsed time = 0.004244 s, Performance = 2.13 TOPS, Utilization = 45.32%
M N K =  1024  1024  1024, Elapsed time = 0.009763 s, Performance = 2.20 TOPS, Utilization = 46.70%
M N K =  1280  1280  1280, Elapsed time = 0.020221 s, Performance = 2.07 TOPS, Utilization = 44.04%
M N K =  1536  1536  1536, Elapsed time = 0.032493 s, Performance = 2.23 TOPS, Utilization = 47.35%
M N K =  1792  1792  1792, Elapsed time = 0.055215 s, Performance = 2.08 TOPS, Utilization = 44.25%
M N K =  2048  2048  2048, Elapsed time = 0.081032 s, Performance = 2.12 TOPS, Utilization = 45.01%
M N K =  2304  2304  2304, Elapsed time = 0.115394 s, Performance = 2.12 TOPS, Utilization = 45.00%
M N K =  2560  2560  2560, Elapsed time = 0.152171 s, Performance = 2.21 TOPS, Utilization = 46.81%
M N K =  2816  2816  2816, Elapsed time = 0.209023 s, Performance = 2.14 TOPS, Utilization = 45.36%
M N K =  3072  3072  3072, Elapsed time = 0.264288 s, Performance = 2.19 TOPS, Utilization = 46.58%
